,test_station,ref_station,error_x1r_CASE_1A,error_x1r_CASE_1B,error_x1r_CASE_2A,error_SE1r_CASE_1A,error_SE1r_CASE_1B,error_SE1r_CASE_2A
0,blue_hill,amherst,-0.9972992,-0.99729747,-0.8633814,0.29291544083788,0.06897561883794541,0.23257933627097938
1,blue_hill,bedford,-0.9444852,-0.11271302,-0.8633814,0.4572258819725888,0.04340162820345996,0.23257933627097938
2,blue_hill,blue_hill,0.0,0.0,-0.8633814,0.26001400930292295,0.0,0.23257933627097938
3,blue_hill,boston_city_wso,-0.50675076,-0.463912,-0.8633814,0.3295418935707197,0.04250321706952372,0.23257933627097938
4,blue_hill,kingston,-0.5308259,0.30981302,-0.8633814,0.4158032109882485,0.039025158819753984,0.23257933627097938
5,blue_hill,lawrence,-0.2691191,-0.22136354,-0.8633814,0.2948053987170723,0.04691585426632694,0.23257933627097938
6,blue_hill,new_bedford,-1.1405996,-1.1405975,-0.8633814,0.23388259815270016,0.007619428771310259,0.23257933627097938
7,blue_hill,new_haven,0.93762416,0.9376259,-0.8633814,0.3570732948175634,0.18143884559723547,0.23257933627097938
8,blue_hill,plymouth_kingston,-1.8272868,-0.9306431,-0.8633814,0.45595889503562964,0.06871055633058765,0.23257933627097938
9,blue_hill,providence_wso,-0.41527525,-0.43721262,-0.8633814,0.27646136257075016,0.06602226374729007,0.23257933627097938
10,blue_hill,provincetown,-1.686202,-0.84556407,-0.8633814,0.3330838833477854,-0.004402193070899539,0.23257933627097938
11,blue_hill,reading,-0.82838756,-0.7775137,-0.8633814,0.34533325119084074,0.09585878096607581,0.23257933627097938
12,blue_hill,taunton,-0.29048872,-0.23562734,-0.8633814,0.40271089929841164,0.08705915850933026,0.23257933627097938
13,blue_hill,walpole_2,-2.1700747,-1.3294364,-0.8633814,0.4528489637629282,0.044130032027968925,0.23257933627097938
14,blue_hill,west_medway,-2.117771,-0.9440694,-0.8633814,0.5124820400797073,0.052644840902513174,0.23257933627097938
